MAGDALINE,ISAAC,JUDAS,CAIN,ISAAC CHARACTERS
???,BLUEBERRY,SKY,WATER,BLUE OBJECTS
APPLE,ORANGE,PEAR,BANANA,FRUITS
PEN,PENCIL,ERASER,SHARPENER,SCHOOL SUPPLIES

AIOLI,BARBECUE,MARINARA,RANCH,DIPPING SAUCES
ANCESTRY,BROTH,CATTLE,MERCHANDISE,WHAT STOCK MIGHT MEAN
BILL,INVOICE,RECEIPT,STATEMENT,TRANSACTION RECORD
EXAMINE,GRILL,PROBE,QUESTION,INTERROGATE

MUFFY,EVONY,JUMBO,TANK,TYPES OF CATS
RED,YELLOW,GREEN,BLUE,BASIC COLORS
TREE,GRASS,FLOWER,CLOVER,OUTSIDE
SONY,NINTENDO,MICROSOFT,ATARI,CONSOLE MAKERS

1,2,3,4,ARABIC NUMBERS
I,IV,X,M,ROMAN NUMERALS
pi,theta,sigma,alpha,GREEK LETTERS
chi,san,mo,tsu,JAPANESE HIRIGANA

BRIDGE,CRUNCH,DIP,SQUAT,EXERCISES
BOUNTY,COWBOY ,DUEL,SALOON,FEATURED IN WESTERNS
BUSY,HONEY,QUEEN,SPELLING,___ BEE
FUZZ,NOISE,SNOW,STATIC,ANALOG TV INTERFERENCE

FRIES,NACHO,POPPER,WING,APPETIZERS
BINGO,RIGHT,YES,CORRECT,CORRECT REPONSES
SANDBOX,SEESAW,SLIDE,SWING,PLAYGROUND SIGHTS
BOOK,BOUNCE,RUN,SPLIT,TO LEAVE QUICKLY

COURIER,IMPACT,PAPYRUS,TIMES,FONTS
FOX,OX,IBEX,LYNX,ANIMALS ENDING IN X
EBONY,JET,ONYX,RAVEN,SHADES OF BLACK
ASH,BLACK,CYBER,FAT,WORDS BEFORE HOLIDAYS

CON,FAST ONE,HUSTLE,RACKET,SCAM
HIGH FIVE,HUG,SHAKE,WAVE,GREETING GESTURES
BUCKET,GUEST,TOP,WISH,___LIST
BIRDIE,EAGLE,HOLE,STROKE,GOLFING TERMS

RISK,CLUE,SORRY,TROUBLE,BOARD GAMES
METERS,INCHES,FEET,CENTIMETERS,UNITS OF MEASURE
CYMBAL,KICK,SNARE,TOM,DRUM SET COMPONENTS
BUNNY,EGG,ISLAND,SUNDAY,EASTER ____

BASH,BLOWOUT,PARTY,DANCE,SOCIAL GATHERING
BEARD,GOATEE,MUSTACHE,STUBBLE,FACIAL HAIR
GEAR,HANDLEBAR,PEDAL,WHEEL,BIKE PARTS
LIGHTS,CAMERA,ACTION,CUT,MOVIE JARGON

ARIZONA,COLORADO,NEVADA,UTAH,US STATES
CRUSH,NESTEA,SPRITE,COCA-COLA,SODA BRANDS
MUSHROOM,PEPPERONI,PEPPERS,OLIVES,PIZZA TOPPINGS
HAWK,STARK,MONTANA,SOPRANO,TONY____

COOLER,LANTERN,SLEEPING BAG,TENT,CAMPING SUPPLIES
CANDLES,CAKE,PRESENTS,PEOPLE,BIRTHDAY BASH
BUD,CHUM,MATE,PAL,FRIEND
CARROT,COFFEE,POUND,SPONGE,___CAKE

CUP,GALLON,PINT,QUART,UNITS OF VOLUME
AWFUL,QUITE,SUPER,VERY,EXTREME DESCRIPTIONS
YEN,DOLLAR,WON,REAL,WORLD CURRENCIES
EGG,MONTH,JUROR,ROSE,1/12

WATER,AIR,FIRE,EARTH,ELEMENTS
WORM,EYE,SKULL,FLESH,TERRARIA COUNTERPARTS
MENDING,PROTECTION,FLAME,INFINITY,MINECRAFT ENCHANTMENTS
QUALITY,RESTART,BOSS,TEARS,ISAAC JARGON
